Date;Open;High;Low;Close;Volume
15.12.20 05:15;1.21507;1.21509;1.21507;1.21509;152000000
15.12.20 05:15;1.21507;1.2151;1.21507;1.2151;136000000
15.12.20 05:16;1.2151;1.21511;1.21508;1.21509;122000000
15.12.20 05:16;1.21509;1.21511;1.21504;1.21505;149000000
15.12.20 05:16;1.21504;1.21506;1.21502;1.21505;131000000
15.12.20 05:16;1.21505;1.21506;1.21504;1.21505;136000000
15.12.20 05:16;1.21505;1.21506;1.21503;1.21505;107000000
15.12.20 05:16;1.21506;1.21506;1.21504;1.21505;135000000
15.12.20 05:17;1.21504;1.21506;1.21504;1.21505;100000000
15.12.20 05:17;1.21504;1.21506;1.21504;1.21504;128000000
15.12.20 05:17;1.21504;1.21508;1.21504;1.21505;134000000
15.12.20 05:17;1.21505;1.21508;1.21505;1.21507;110000000
15.12.20 05:17;1.21507;1.21508;1.21505;1.21507;114000000
15.12.20 05:17;1.21506;1.2151;1.21505;1.21509;137049999
15.12.20 05:18;1.21509;1.21511;1.21508;1.21511;138049999
15.12.20 05:18;1.21509;1.2151;1.21507;1.21508;142000000
15.12.20 05:18;1.21508;1.2151;1.21507;1.21509;101000000
15.12.20 05:18;1.21508;1.2151;1.21506;1.21507;154000000
15.12.20 05:18;1.21509;1.21509;1.21506;1.21508;128000000
15.12.20 05:18;1.21507;1.21509;1.21506;1.21508;145000000
15.12.20 05:19;1.21507;1.21508;1.21506;1.21507;121000000
15.12.20 05:19;1.21507;1.21507;1.21506;1.21507;103000000
15.12.20 05:19;1.21508;1.21508;1.21505;1.21506;131000000
15.12.20 05:19;1.215;1.21503;1.21498;1.21502;138000000
15.12.20 05:19;1.21502;1.21503;1.21501;1.21501;125000000
15.12.20 05:19;1.215;1.21502;1.215;1.215;173000000
15.12.20 05:20;1.215;1.21503;1.215;1.21503;146000000
15.12.20 05:20;1.21503;1.21503;1.21501;1.21502;139000000
15.12.20 05:20;1.21502;1.21503;1.21501;1.21503;157000000
15.12.20 05:20;1.21502;1.21503;1.21501;1.21502;137000000
15.12.20 05:20;1.21502;1.21503;1.21501;1.21502;136000000
15.12.20 05:20;1.21502;1.21505;1.21501;1.21502;149049999
15.12.20 05:21;1.21502;1.21503;1.215;1.21502;119000000
15.12.20 05:21;1.21502;1.21502;1.21495;1.21495;129000000
15.12.20 05:21;1.21495;1.21495;1.21491;1.21493;168000000
15.12.20 05:21;1.21493;1.21494;1.21491;1.21493;136149997
15.12.20 05:21;1.21494;1.21494;1.21491;1.21491;149049999
15.12.20 05:21;1.21491;1.21496;1.21491;1.21495;141000000
15.12.20 05:22;1.21494;1.21495;1.21493;1.21495;131000000
15.12.20 05:22;1.21494;1.21497;1.21493;1.21495;153000000
15.12.20 05:22;1.21496;1.21498;1.21495;1.21497;166000000
15.12.20 05:22;1.21496;1.21498;1.21493;1.21493;147000000
15.12.20 05:22;1.21494;1.21497;1.21493;1.21497;112000000
15.12.20 05:22;1.21497;1.21497;1.21488;1.21489;165000000
15.12.20 05:23;1.21491;1.21491;1.21489;1.2149;167149997
15.12.20 05:23;1.21492;1.21492;1.21488;1.21489;145000000
15.12.20 05:23;1.21489;1.21489;1.21487;1.21488;127000000
15.12.20 05:23;1.21487;1.2149;1.21486;1.21488;114000000
15.12.20 05:23;1.21488;1.21491;1.21487;1.21489;127000000
15.12.20 05:23;1.21488;1.21491;1.21487;1.21487;166000000
15.12.20 05:24;1.21486;1.21488;1.21485;1.21487;142000000
15.12.20 05:24;1.21487;1.2149;1.21487;1.21489;127000000
15.12.20 05:24;1.2149;1.2149;1.21487;1.21488;145000000
15.12.20 05:24;1.21488;1.21493;1.21488;1.21492;138000000
15.12.20 05:24;1.21492;1.21494;1.2149;1.21492;147000000
15.12.20 05:24;1.21492;1.21493;1.2149;1.21491;138000000
15.12.20 05:25;1.21491;1.21492;1.21489;1.21489;153099998
15.12.20 05:25;1.21489;1.21489;1.21487;1.21489;112000000
15.12.20 05:25;1.21486;1.21489;1.21486;1.21487;131000000
15.12.20 05:25;1.21486;1.21488;1.21486;1.21486;154000000
15.12.20 05:25;1.21488;1.21488;1.21485;1.21486;146000000
15.12.20 05:25;1.21486;1.21488;1.21485;1.21487;129000000
15.12.20 05:26;1.21487;1.21488;1.21486;1.21487;161000000
15.12.20 05:26;1.21488;1.21488;1.21486;1.21488;149000000
15.12.20 05:26;1.21487;1.21488;1.21485;1.21487;138049999
15.12.20 05:26;1.21486;1.21487;1.21485;1.21486;137000000
15.12.20 05:26;1.21486;1.21487;1.21485;1.21486;123049999
15.12.20 05:26;1.21486;1.21487;1.21486;1.21487;148049999
15.12.20 05:27;1.21487;1.21488;1.21485;1.21487;156000000
15.12.20 05:27;1.21489;1.21489;1.21486;1.21486;130000000
15.12.20 05:27;1.21488;1.2149;1.21486;1.2149;137000000
15.12.20 05:27;1.2149;1.21491;1.21487;1.21487;151000000
15.12.20 05:27;1.21487;1.21487;1.21486;1.21487;155000000
15.12.20 05:27;1.21487;1.21487;1.21486;1.21486;121000000
15.12.20 05:28;1.21487;1.21487;1.21485;1.21487;151000000
15.12.20 05:28;1.21487;1.21488;1.21485;1.21487;147049999
15.12.20 05:28;1.21487;1.21488;1.21486;1.21488;150000000
15.12.20 05:28;1.21487;1.21488;1.21485;1.21486;132049999
15.12.20 05:28;1.21486;1.21488;1.21485;1.21487;127000000
15.12.20 05:28;1.21488;1.21488;1.21486;1.21487;133000000
15.12.20 05:29;1.21488;1.21491;1.21487;1.2149;153000000
15.12.20 05:29;1.21491;1.21492;1.2149;1.21491;99000000
15.12.20 05:29;1.21491;1.21491;1.21486;1.21487;154000000
15.12.20 05:29;1.21487;1.21487;1.21486;1.21487;108000000
15.12.20 05:29;1.21487;1.21487;1.21476;1.21478;133049999
15.12.20 05:29;1.21478;1.21479;1.21478;1.21478;124000000
15.12.20 05:30;1.21477;1.21479;1.21477;1.21478;136000000
